Date,Price,Open,High,Low,Vol.,Change %
01-11-2007,641.15,634.03,658.31,579.4,309.52M,2.44%
01-10-2007,625.89,519.37,672.03,494.12,459.97M,21.14%
01-09-2007,516.68,440.88,545.45,431.96,208.89M,17.19%
01-08-2007,440.88,419.31,442.92,378.44,277.65M,3.56%
01-07-2007,425.72,383.12,438.09,376.84,236.55M,11.35%
01-06-2007,382.34,398.58,404.7,370.32,183.58M,-3.31%
01-05-2007,395.44,354.11,404.21,344.28,226.36M,12.67%
01-04-2007,350.98,304.65,365.71,293.46,189.61M,13.92%
01-03-2007,308.09,309.15,311.12,280.64,224.00M,1.32%
01-02-2007,304.09,307.57,324.75,293.43,188.38M,-1.02%
01-01-2007,307.22,286.66,321.06,284.21,213.74M,7.58%
01-12-2006,285.57,279.94,294.31,264.48,264.74M,2.07%
01-11-2006,279.79,274.52,295.87,274.32,241.96M,1.50%
01-10-2006,275.65,261.99,278.79,255.97,236.04M,4.63%
01-09-2006,263.45,250.69,269.08,241.27,291.03M,4.87%
01-08-2006,251.22,218.99,256.29,214.04,314.01M,14.15%
01-07-2006,220.07,238.69,247.32,211.68,396.00M,-7.65%
01-06-2006,238.29,216.96,239.22,181.44,662.90M,11.08%
01-05-2006,214.52,230.45,266.29,188.86,760.28M,-6.73%
01-04-2006,229.99,180.09,236.08,180.09,477.32M,28.62%
01-03-2006,178.82,159.18,181.67,157.86,400.06M,12.20%
01-02-2006,159.37,160.67,162.86,153.67,399.83M,-0.71%
01-01-2006,160.51,152.05,164.05,130.43,1.03B,6.00%
01-12-2005,151.42,141.83,153.39,140.81,459.01M,6.80%
01-11-2005,141.78,132.3,147.43,125.15,382.63M,9.20%
01-10-2005,129.83,133.66,137.9,125.15,491.89M,-3.92%
01-09-2005,135.12,122.42,143.03,122.42,523.44M,10.31%
01-08-2005,122.49,119.7,136.05,116.3,707.20M,2.28%
01-07-2005,119.76,109.48,121.21,103.74,444.27M,9.46%
01-06-2005,109.41,91.6,114.93,89.9,725.68M,20.11%
01-05-2005,91.09,90.16,94.63,87.79,307.67M,1.31%
01-04-2005,89.91,94.84,98.23,87.18,367.59M,-3.30%
01-03-2005,92.98,94.93,102.3,91.79,529.24M,-1.83%
01-02-2005,94.71,90.91,101.79,90.01,348.47M,4.50%
01-01-2005,90.63,91.84,93.65,83.43,460.95M,-0.26%
01-12-2004,90.87,89.05,93.29,80.38,834.95M,3.21%
01-11-2004,88.04,90.57,99.95,82.92,587.09M,-2.29%
01-10-2004,90.1,88.22,102.16,87.22,464.14M,2.18%
01-09-2004,88.18,80.99,88.5,79.79,419.89M,8.88%
01-08-2004,80.99,83.09,94.5,76.37,533.42M,-2.70%
01-07-2004,83.24,74.82,83.52,68.11,642.86M,13.78%
01-06-2004,73.16,74.07,78.03,69.67,581.95M,-0.03%
01-05-2004,73.18,89.73,107.79,64.99,683.83M,-18.36%
01-04-2004,89.64,91.78,110.67,88.91,449.60M,-2.15%
01-03-2004,91.61,96.88,102.16,86.03,584.19M,-3.01%
01-02-2004,94.45,95.69,105.57,91.78,609.48M,-1.04%
01-01-2004,95.44,98.76,103.17,89.77,603.59M,-2.15%
01-12-2003,97.54,83.45,99.23,74.07,632.22M,17.62%
01-11-2003,82.93,82.91,86.84,75.97,436.83M,0.12%
01-10-2003,82.83,75.09,84.78,63,546.77M,9.61%
01-09-2003,75.57,67.81,86.84,66.75,655.56M,10.76%
01-08-2003,68.23,61.25,72.31,58.5,477.76M,11.96%
01-07-2003,60.94,55.52,61.61,55.04,546.19M,10.16%
01-06-2003,55.32,50.91,57.51,49.59,495.33M,8.81%
01-05-2003,50.84,46.76,51.42,43.78,264.53M,8.80%
01-04-2003,46.73,46.99,51.42,45.08,347.83M,-1.31%
